AKUN/DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP)
612201101/PROM SOSIALISASI,14/06/2021,CETAK SPANDUK SOSIALISASI PELATIHAN SIMULASI KESELAMATAN DAN KESEHATAN KERJA (K3),180000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS,350000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS ,350000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,10/06/2021,BBM MOBIL DINAS ,326000
612414101/BBM/TOL/PARKIR,14/06/2021,BBM MOBIL DINAS ,300000
612414101/BBM/TOL/PARKIR,15/06/2021,BBM MOTOR DINAS,25000
612414101/BBM/TOL/PARKIR,16/06/2021,BBM MOBIL DINAS ,250000
612414101/BBM/TOL/PARKIR,14/06/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,17/06/2021,BBM MOBIL DINAS,400000
612408101/BIAYA PEMELIHARAAN KANTOR,10/06/2021,PEMB ALAT KEBERSIHAN KANTOR,350000
612408101/BIAYA PEMELIHARAAN KANTOR,10/06/2021,PEMB OBAT-OBATAN KEBERSIHAN KANTOR,1458950
612403103/RUMAH TANGGA,10/06/2021,"PEMB TEH,KOPI,GULA",402100
612403103/RUMAH TANGGA,,"PEMB TEH,KOPI,GULA",
612412101/BIAYA JAMUAN KANTOR,10/06/2021,JAMUAN INTERNAL RUANG RAPAT,385700
612409101/PAJAK KENDARAAN DINAS,10/06/2021,PAJAK MOBIL DINAS ,4424400
612409101/PAJAK KENDARAAN DINAS,10/06/2021,PAJAK MOBIL DINAS   ,3395400
612414101/BBM/TOL/PARKIR,14/06/2021,BBM MOBIL DINAS,100000
612414101/BBM/TOL/PARKIR,21/06/2021,BBM MOBIL DINAS ,250000
612415103/RETRIBUSI DAN KEBERSIHAN,15/06/2021,DANA SUMBANGAN PERBAIKAN PANEL LISTRIK JL.SALAMIANG ,200000
612415103/RETRIBUSI DAN KEBERSIHAN,15/06/2021,BIAYA KEBERSIHAN RUMAH DINAS BULAN JUNI 2021,300000
612415103/RETRIBUSI DAN KEBERSIHAN,18/06/2021,DANA BANTUAN KEGIATAN SOSIAL BULAN JUNI 2021,100000
612412101/BIAYA JAMUAN KANTOR,12/06/2021,JAMUAN INTERNAL,360000
612412101/BIAYA JAMUAN KANTOR,14/06/2021,JAMUAN INTERNAL,85000
612412101/BIAYA JAMUAN KANTOR,12/06/2021,JAMUAN INTERNAL,40000
612412101/BIAYA JAMUAN KANTOR,13/06/2021,JAMUAN INTERNAL,144000
612412101/BIAYA JAMUAN KANTOR,14/06/2021,JAMUAN INTERNAL,35000
612412101/BIAYA JAMUAN KANTOR,14/06/2021,JAMUAN INTERNAL,25000
612412101/BIAYA JAMUAN KANTOR,14/06/2021,JAMUAN INTERNAL,174000
612412101/BIAYA JAMUAN KANTOR,14/06/2021,JAMUAN INTERNAL,189000
612412101/BIAYA JAMUAN KANTOR,18/06/2021,JAMUAN TAMU DINAS,378840
612412101/BIAYA JAMUAN KANTOR,18/06/2021,JAMUAN TAMU DINAS,184000
612412101/BIAYA JAMUAN KANTOR,18/06/2021,JAMUAN TAMU DINAS,46000
612412101/BIAYA JAMUAN KANTOR,18/06/2021,JAMUAN TAMU DINAS,45000
612412101/BIAYA JAMUAN KANTOR,18/06/2021,JAMUAN TAMU DINAS,10000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN TAMU DINAS,228000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN TAMU DINAS,42500
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN TAMU DINAS,36000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN TAMU DINAS,16000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN INTERNAL,54000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN INTERNAL,20000
612412101/BIAYA JAMUAN KANTOR,20/06/2021,JAMUAN INTERNAL,25000
612412101/BIAYA JAMUAN KANTOR,19/06/2021,JAMUAN INTERNAL,139000
612412101/BIAYA JAMUAN KANTOR,21/06/2021,JAMUAN INTERNAL,60000
612412101/BIAYA JAMUAN KANTOR,20/06/2021,JAMUAN INTERNAL,60000
612412101/BIAYA JAMUAN KANTOR,21/06/2021,JAMUAN INTERNAL,149000
612412101/BIAYA JAMUAN KANTOR,17/06/2021,JAMUAN INTERNAL,420000
612412101/BIAYA JAMUAN KANTOR,22/06/2021,JAMUAN INTERNAL,701000
612408101/BIAYA PEMELIHARAAN KANTOR,15/06/2021,PEMB SAKLAR & TEMPAT LAMPU R. DOSIR PENSIUN BASEMENT,40000
612408101/BIAYA PEMELIHARAAN KANTOR,15/06/2021,PEMB JET SHOWER TOILET LT 1 ,85000
612408101/BIAYA PEMELIHARAAN KANTOR,27/05/2021,PEMB TANAMAN PISANG-PISANGAN TAMAN HALAMAN SAMPING KANTOR,100000
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,19/06/2021,PEMB PERLENGKAPAN KABEL PC KARYAWAN LT 1,110000
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,20/06/2021,PEMB KABEL & KONEKTOR PC KARYAWAN LT 1,175000
"612403101/TAGIHAN LISTRIK, TELEPON, DAN AIR",18/06/2021,PEMB PULSA HP OPERASIONAL KEPESERTAAN,64000
612403103/RUMAH TANGGA,10/06/2021,PEMB KOPI,85500
612403103/RUMAH TANGGA,14/06/2021,PEMB GELAS KERTAS & MIKA,32000
612403103/RUMAH TANGGA,17/06/2021,PEMB PIRING PLASTIK & GELAS PLASTIK,55000
612403103/RUMAH TANGGA,22/06/2021,PEMB BINGKAI FOTO KEPALA CABANG BOGOR,480000
612403103/RUMAH TANGGA,18/06/2021,CETAK FOTO KEPALA CABANG BOGOR,90000
612408103/PEM KENDARAAN,15/06/2021,PEMB TAMBAL BAN MBL DINAS  ,40000
612408103/PEM KENDARAAN,17/06/2021,CUCI STEAM MOBIL DINAS,40000
612408103/PEM KENDARAAN,17/06/2021,CUCI STEAM MOBIL DINAS  ,40000
612401102/ BEBAN FOTOCOPY,17/06/2021,FOTOKOPI FORMULIR FPP,100000
612308102/BEBAN BINA BAPORSENI,16/06/2021,SEWA LAPANGAN FUTSAL,190000
612308102/BEBAN BINA BAPORSENI,16/06/2021,PEMB BOLA FUTSAL,199800
612308102/BEBAN BINA BAPORSENI,16/06/2021,JAMUAN FUTSAL,30000
612308102/BEBAN BINA BAPORSENI,15/06/2021,JAMUAN BULUTANGKIS,50000
612308102/BEBAN BINA BAPORSENI,22/06/2021,JAMUAN BULUTANGKIS,97000
811010108/BBN COVID-19,22/06/2021,PEMB HAND SANITIZER,447055
811010108/BBN COVID-20,21/06/2021,PEMB AIR DISINFEKTAN CHAMBER BOX,143632
612408102/BIAYA PEM RMH DINAS,18/06/2021,PEMB PERLENGKAPAN PEMASANGAN GRANIT TANGGA RUMAH DINAS,3147007
612408102/BIAYA PEM RMH DINAS,19/06/2021,PEMB LIS DINDING KAMAR RUMAH DINAS,701250
612408102/BIAYA PEM RMH DINAS,23/06/2021,PEMB TRIPLEK PLAFON KAMAR RUMAH DINAS,80000
612408102/BIAYA PEM RMH DINAS,24/06/2021,PEMB CAT RAILING TANGGA RUMAH DINAS,65000
612408102/BIAYA PEM RMH DINAS,24/06/2021,PEMB LIS TANGGA RUMAH DINAS,198000
612408102/BIAYA PEM RMH DINAS,20/06/2021,PEMB KUKU MACAN TANGGA RUMAH DINAS,243000
612408102/BIAYA PEM RMH DINAS,28/06/2021,UPAH TENAGA KERJA ,1750000
612412101/BIAYA JAMUAN KANTOR,22/06/2021,JAMUAN INTERNAL,100000
612412101/BIAYA JAMUAN KANTOR,23/06/2021,JAMUAN INTERNAL,100000
612412101/BIAYA JAMUAN KANTOR,23/06/2021,JAMUAN INTERNAL,77000
612412101/BIAYA JAMUAN KANTOR,23/06/2021,JAMUAN INTERNAL,96300
612412101/BIAYA JAMUAN KANTOR,23/06/2021,JAMUAN INTERNAL,203000
612412101/BIAYA JAMUAN KANTOR,23/06/2021,JAMUAN INTERNAL,29600
612412101/BIAYA JAMUAN KANTOR,24/06/2021,JAMUAN INTERNAL,298741
612412101/BIAYA JAMUAN KANTOR,24/06/2021,JAMUAN INTERNAL,100000
612412101/BIAYA JAMUAN KANTOR,26/06/2021,JAMUAN INTERNAL,75000
612412101/BIAYA JAMUAN KANTOR,26/06/2021,JAMUAN INTERNAL,25000
612412101/BIAYA JAMUAN KANTOR,28/06/2021,JAMUAN INTERNAL,662200
612412101/BIAYA JAMUAN KANTOR,29/06/2021,JAMUAN INTERNAL,151000
612412101/BIAYA JAMUAN KANTOR,29/06/2021,JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,05/07/2021,JAMUAN INTERNAL,152500
612412101/BIAYA JAMUAN KANTOR,05/07/2021,JAMUAN INTERNAL,469700
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,267000
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,354750
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,29700
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,47190
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,8800
612412101/BIAYA JAMUAN KANTOR,06/07/2021,JAMUAN INTERNAL,37400
612412101/BIAYA JAMUAN KANTOR,08/07/2021,JAMUAN INTERNAL,74000
612412101/BIAYA JAMUAN KANTOR,08/07/2021,JAMUAN INTERNAL,26000
612412101/BIAYA JAMUAN KANTOR,09/07/2021,JAMUAN INTERNAL,130000
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",06/07/2021,PULSA AO ,250000
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",28/06/2021,PULSA HP KEPESERTAAN,77000
"612403101/TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",05/07/2021,PULSA HP LAYANAN,67000
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,30/06/2021,PERBAIKAN LAPTOP RANGER 7 (SOFTWARE&DRIVER),150000
612414101/BBM/TOL/PARKIR,22/06/2021,BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,22/06/2021,BBM MOBIL DINAS,250000
612414101/BBM/TOL/PARKIR,23/06/2021,BBM MOBIL DINAS ,250000
612414101/BBM/TOL/PARKIR,25/06/2021,BBM MOBIL DINAS ,250000
612414101/BBM/TOL/PARKIR,29/06/2021,BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,30/06/2021,BBM MOBIL DINAS ,300000
612414101/BBM/TOL/PARKIR,02/07/2021,BBM MOBIL DINAS ,350000
612414101/BBM/TOL/PARKIR,10/07/2021,BBM MOBIL DINAS,200000
612414101/BBM/TOL/PARKIR,07/07/2021,BBM MOTOR DINAS,20000
612412101/BIAYA JAMUAN KANTOR,12/07/2021,JAMUAN INTERNAL,596900
612412101/BIAYA JAMUAN KANTOR,10/07/2021,JAMUAN INTERNAL,524760
612403103/RUMAH TANGGA,22/06/2021,PEMB SARUNG TANGAN MEDIS R.LAYANAN,77800
612403103/RUMAH TANGGA,01/07/2021,PEMB MASKER ,200000
612403103/RUMAH TANGGA,25/06/2021,PEMB BINGKAI FOTO KEPALA CABANG,160000
612403103/RUMAH TANGGA,29/06/2021,PEMB CHARGER HP OPERASIONAL LAYANAN,90000
612403103/RUMAH TANGGA,08/07/2021,PEMB GULA,77500
612403103/RUMAH TANGGA,05/07/2021,PEMB MATERAI,500000
612403103/RUMAH TANGGA,30/06/2021,PEMB AQUA,1842999
612403103/RUMAH TANGGA,25/06/2021,PRINT FOTO KEPALA CABANG BOGOR,30000
612403103/RUMAH TANGGA,22/06/2021,PEMB PLASTIK PENYEKAT DROPBOX LAYANAN,47000
612403103/RUMAH TANGGA,27/06/2021,PEMB PLASTIK PENYEKAT MEJA CS TENDA,24000
612408101/BIAYA PEMELIHARAAN KANTOR,20/06/2021,PEMB LEM SEALENT KACA LT.2 (BOCOR),60000
612408101/BIAYA PEMELIHARAAN KANTOR,26/06/2021,PEMB KABEL LAMPU R.DOSIR PENSIUN,56000
612408102/BIAYA PEM RMH DINAS,08/07/2021,PEMB PERBAIKAN MESIN CUCI RUMAH DINAS,800000
612408102/BIAYA PEM RMH DINAS,08/07/2021,PEMB KABEL DAN PERLENGKAPAN PERBAIKAN MESIN CUCI RUMAH DINAS,63000
612408103/PEM KENDARAAN,28/06/2021,PEMB CUCI STEAM MOBIL  ,40000
612203106/BIAYA LAYANAN PESERTA,23/06/2021,PEMB JAMUAN PESERTA (AQUA GELAS),36500
612401102/ BEBAN FOTOCOPY,23/06/2021,FOTOKOPI FORMULIR FPP,20000
612401102/ BEBAN FOTOCOPY,28/06/2021,FOTOKOPI PENGUMUMAN LAYANAN ONLINE,10500
612401102/ BEBAN FOTOCOPY,29/06/2021,PRINT PENGUMUMAN LAY.KLIM ONLINE,17500
612401102/ BEBAN FOTOCOPY,28/06/2021,PRINT PENGUMUMAN LAY.KLIM ONLINE (PROSEDUR KLIM & T-CARE),14000
612401102/ BEBAN FOTOCOPY,05/07/2021,"JILID,LAMINATING LAPORAN KEUANGAN JUNI 2021",42000
612401102/ BEBAN FOTOCOPY,05/07/2021,FOTOKOPI PERBESAR PENGUMUMAN PERPANJANGAN LAYANAN ONLINE,12000
612401102/ BEBAN FOTOCOPY,06/07/2021,PRINT PENGUMUMAN PERPANJANGAN LAYANAN ONLINE,5000
612415108/ BEBAN PMSRN PROD TL,06/07/2021,CETAK BANNER SOSIALISASI TASPEN LIFE,150000
612201102/ BBN PROM PUBLIKASI DOKUMENTASI,01/07/2021,CETAK BANNER PENGUMUMAN LAYANAN ONLINE,120000
612413102/BEBAN PERAYAAN,02/07/2021,CETAK UMBUL-UMBUL HUT RI 17 AGUSTUS,150000
612413102/BEBAN PERAYAAN,07/07/2021,CETAK BANNER HUT RI 17 AGUSTUS,150000
612308102/BEBAN BINA BAPORSENI,24/06/2021,HONOR INSTRUKTUR SENAM,350000
612308102/BEBAN BINA BAPORSENI,24/06/2021,JAMUAN SENAM,500000
811010108/BEBAN COVID-19,10/07/2021,SEWA BUS KEGIATAN VAKSINASI GOTONG ROYONG ,1800000
612414101/BBM/TOL/PARKIR,13/07/2021,BBM MOTOR DINAS,20000
612414101/BBM/TOL/PARKIR,14/07/2021,BBM MOBIL DINAS,350000
612414101/BBM/TOL/PARKIR,14/07/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,14/07/2021,BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,14/07/2021,BBM MOBIL DINAS,250000
612414101/BBM/TOL/PARKIR,16/07/2021,BBM MOTOR DINAS,10000
612408101/BIAYA PEMELIHARAAN KANTOR,15/07/2021,PEMB OBAT OBATAN KEBERSIHAN KANTOR,1611400
612408101/BIAYA PEMELIHARAAN KANTOR,15/07/2021,PEMB ALAT KEBERSIHAN KANTOR,225000
612403103/RUMAH TANGGA,15/07/2021,"PEMB TEH,KOPI,GULA",459600
612408103/PEM KENDARAAN,14/07/2021,SERVICE RUTIN KENDARAAN DINAS ,919100
612412101/BIAYA JAMUAN KANTOR,08/07/2021,JAMUAN INTERNAL,288000
612412101/BIAYA JAMUAN KANTOR,13/07/2021,JAMUAN INTERNAL,30000
612412101/BIAYA JAMUAN KANTOR,13/07/2021,JAMUAN INTERNAL,40000
612412101/BIAYA JAMUAN KANTOR,14/07/2021,JAMUAN INTERNAL R.RAPAT,190600
612412101/BIAYA JAMUAN KANTOR,14/07/2021,JAMUAN INTERNAL,70000
612412101/BIAYA JAMUAN KANTOR,15/07/2021,JAMUAN INTERNAL,90000
612412101/BIAYA JAMUAN KANTOR,18/07/2021,JAMUAN INTERNAL,330367
612412101/BIAYA JAMUAN KANTOR,16/07/2021,JAMUAN INTERNAL,50000
612412101/BIAYA JAMUAN KANTOR,19/07/2021,JAMUAN INTERNAL,606500
612415103/RETRIBUSI & KEBERSIHAN,05/07/2021,RETRIBUSI KEBERSIHAN KANTOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,14/07/2021,DANA BANTUAN KEGIATAN SOSIAL BULAN ,100000
612415103/RETRIBUSI & KEBERSIHAN,08/07/2021,RETRIBUSI KEBERSIHAN RUMAH DINAS ,300000
612403103/RUMAH TANGGA,15/07/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,272000
612403103/RUMAH TANGGA,15/07/2021,PRINT FOTO KEPALA CABANG,30000
612408102/BIAYA PEM RMH DINAS,12/07/2021,PEMB RODA PAGAR RUMAH DINAS,65000
612601200/BBN BINA LINGKUNGAN,17/07/2021,"PEMB GULA , MINYAK GORENG, TERIGU",13400000
612601200/BBN BINA LINGKUNGAN,16/07/2021,PEMB INDOMIE DAN SUSU KALENG,8258000
612601200/BBN BINA LINGKUNGAN,16/07/2021,PEMB BERAS @2 KG,8000000
612601200/BBN BINA LINGKUNGAN,16/07/2021,PEMB PLASTIK LOGO TASPEN,342000
612412101/BIAYA JAMUAN KANTOR,21/07/2021,JAMUAN EKSTERNAL (RAPAT KOORDINASI DENGAN BANK MANTAP),25000
612412101/BIAYA JAMUAN KANTOR,21/07/2021,JAMUAN EKSTERNAL (RAPAT KOORDINASI DENGAN BANK MANTAP),52000
612412101/BIAYA JAMUAN KANTOR,21/07/2021,JAMUAN EKSTERNAL (RAPAT KOORDINASI DENGAN BANK MANTAP),118000
612412101/BIAYA JAMUAN KANTOR,21/07/2021,JAMUAN INTERNAL,231405
612412101/BIAYA JAMUAN KANTOR,16/07/2021,JAMUAN INTERNAL,150000
612412101/BIAYA JAMUAN KANTOR,19/07/2021,JAMUAN INTERNAL,309900
612203106/BIAYA LAYANAN PESERTA,12/07/2021,PEMB JAMUAN PESERTA (AQUA GELAS),735000
"612403101/TELPON,INTERNET,FASIMILI",13/07/2021,PEMB PULSA HP OPERASIONAL LAYANAN,67000
612413102/BEBAN PERAYAAN,05/07/2021,PEMB RANGKA TIANG PERLENGKAPAN UMBUL-UMBUL SPANDUK PERINGATAN HUT RI 17 AGUSTUS,75000
612403103/RUMAH TANGGA,13/07/2021,"PEMB PERLENGKAPAN DAPUR KANTOR (SPATULA,MANGKOK,DLL)",1194000
612403103/RUMAH TANGGA,14/07/2021,PEMB GELAS KARYAWAN,507000
612403103/RUMAH TANGGA,13/07/2021,PEMB WAJAN DAN PANCI PANTRY LT.2,153000
612403103/RUMAH TANGGA,12/07/2021,PEMB KANTONG PLASTIK VITAMIN KARYAWAN,11000
612403103/RUMAH TANGGA,14/07/2021,PEMB SENDOK PANTRY LT.1 DAN 2,182500
612403103/RUMAH TANGGA,13/07/2021,PEMB GAS PANTRY LT.2 ,145000
612408102/BIAYA PEM RMH DINAS,19/07/2021,PEMB PERLENGKAPAN PERBAIKAN KERAN HALAMAN BELAKANG RUMAH DINAS,75000
612414101/BBM/TOL/PARKIR,12/07/2021,BBM MOBIL DINAS,290000
612414101/BBM/TOL/PARKIR,22/07/2021,BBM MOTOR DINAS,20000
612414101/BBM/TOL/PARKIR,22/07/2021,TOL MOBIL DINAS CIAWI,7000
612414101/BBM/TOL/PARKIR,22/07/2021,TOL MOBIL DINAS CIGOMBONG,12000
612414101/BBM/TOL/PARKIR,22/07/2021,TOL MOBIL DINAS CIGOMBONG,12000
612414101/BBM/TOL/PARKIR,23/07/2021,BBM GENSET KANTOR,100000
612203106/BIAYA LAYANAN PESERTA,14/07/2021,BBM MOBIL DINAS  ( MOTAS ),250000
612412101/BIAYA JAMUAN KANTOR,23/07/2021,JAMUAN INTERNAL,100000
612412101/BIAYA JAMUAN KANTOR,25/07/2021,JAMUAN INTERNAL,155500
612412101/BIAYA JAMUAN KANTOR,26/07/2021,JAMUAN INTERNAL,21400
612412101/BIAYA JAMUAN KANTOR,16/07/2021,JAMUAN INTERNAL,400000
612403103/RUMAH TANGGA,22/07/2021,PEMB BOX DAPEM R.LAYANAN,130000
612403103/RUMAH TANGGA,02/07/2021,LAUNDRY BENDERA MERAH PUTIH HALAMAN DEPAN,79050
"612403101/TELPON,INTERNET,FASIMILI",23/07/2021,PEMB PULSA HP OPERASIONAL LAYANAN,64000
612408102/BIAYA PEM RMH DINAS,14/07/2021,PENEBANGAN POHON RUMAH DINAS,1500000
612408103/BEBAN PEM KENDARAAN,06/08/2021,"PEMB SPAREPART GASKET,RUBBER WIPPER DLL MOBIL DINAS  ",1295000
612408103/BEBAN PEM KENDARAAN,06/08/2021,SERVICE BERKALA MOBIL DINAS  ,759000
612408103/BEBAN PEM KENDARAAN,10/08/2021,SERVICE BERKALA MOBIL DINAS ,115500
612408103/BEBAN PEM KENDARAAN,12/08/2021,"PEMB SPAREPART GASKET, BRAKE CALIPER GREASE, DLL MOBIL DINAS ",1025100
612408103/BEBAN PEM KENDARAAN,12/08/2021,SERVICE BERKALA MOBIL DINAS ,1111000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOBIL DINAS,350000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOBIL ,350000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOTOR DINAS,20000
612414101/BBM/TOL/PARKIR,06/08/2021,BBM MOTOR DINAS,20000
612414101/BBM/TOL/PARKIR,10/08/2021,BBM GENSET KANTOR,60000
612403103/RUMAH TANGGA,09/08/2021,PEMB STEMPEL KANTOR,160000
612403103/RUMAH TANGGA,09/08/2021,PEMB SENDOK & GARPU PANTRY LT 1 ,165000
612403103/RUMAH TANGGA,10/08/2021,PEMB MANGKOK PANTRY LT 1 & 2,600000
612403103/RUMAH TANGGA,10/08/2021,PEMB OBAT-OBATAN P3K KANTOR LT 2,265000
612403103/RUMAH TANGGA,12/08/2021,PEMB PIRING & GELAS PLASTIK ,45000
612412101/BIAYA JAMUAN KANTOR,04/08/2021,JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,04/08/2021,JAMUAN INTERNAL,60000
612412101/BIAYA JAMUAN KANTOR,05/08/2021,JAMUAN INTERNAL,60000
612412101/BIAYA JAMUAN KANTOR,10/08/2021,JAMUAN INTERNAL,45000
612412101/BIAYA JAMUAN KANTOR,09/08/2021,JAMUAN INTERNAL,310700
612412101/BIAYA JAMUAN KANTOR,09/08/2021,JAMUAN INTERNAL,223000
612403103/RUMAH TANGGA,03/08/2021,PEMB PIRING PLASTIK & GARPU KECIL,27000
612403103/RUMAH TANGGA,10/08/2021,PEMB AQUA GALON MINUM KARYAWAN,272000
612408101/ PEMELIHARAAN KANTOR,10/08/2021,PEMB CAT DAN KUAS KUSEN PINTU TOILET HALAMAN DEPAN (POS SATPAM),16000
612408101/ PEMELIHARAAN KANTOR,10/08/2021,PEMB OBAT PEMBASMI HAMA RUMPUT LIAR TAMAN ,115000
612408101/ PEMELIHARAAN KANTOR,04/08/2021,PEMB LAMPU R. DOSIR KEUANGAN DAN R.DOSIR PENSIUN,100000
612408101/ PEMELIHARAAN KANTOR,09/08/2021,PEMB KERAN DAN LEM TOILET HALAMAN DEPAN (POS SATPAM),35000
612408101/ PEMELIHARAAN KANTOR,09/08/2021,PEMB SELOT KUNCI PINTU TOILET HALAMAN DEPAN (POS SATPAM),21000
"612403101/TELPON,INTERNET,FASIMILI",13/08/2021,PEMB PULSA AO ,250000
"612403101/TELPON,INTERNET,FASIMILI",16/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,64000
"612403101/TELPON,INTERNET,FASIMILI",06/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,64000
612415103/RETRIBUSI & KEBERSIHAN,06/08/2021,DANA BANTUAN KEGIATAN SOSIAL ,100000
612401102/ BEBAN FOTOCOPY,06/08/2021,"JILID, LAMINATING LAPORAN PKBL BULAN ",26000
612401102/ BEBAN FOTOCOPY,04/08/2021,"JILID,LAMINATING LAPORAN KEUANGAN BULAN ",33600
612401102/ BEBAN FOTOCOPY,13/08/2021,"PRINT,LAMINATING NOMOR ANTRIAN PESERTA",117500
612201102/BIAYA PUBLIKASI & DOKUMENTASI,10/08/2021,PRINT A3 PENGUMUMAN HATI-HATI PENIPUAN,7000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,05/08/2021,PRINT A3 & ALBATROS PENGUMUMAN TASPEN ONLINE SERVICES (TOS),45000
612308102/BEBAN BINA BAPORSENI,12/08/2021,HONOR INSTRUKTUR SENAM SKJ,350000
612308102/BEBAN BINA BAPORSENI,12/08/2021,JAMUAN SENAM SKJ,350000
612308102/BEBAN BINA BAPORSENI,13/08/2021,JAMUAN BAPORSENI VOLI,60000
612308101/BBN BINA BAPINROH,18/08/2021,BANTUAN KEGIATAN PERINGATAN TAHUN BARU ISLAM 1 MUHARAM ,300000
612403103/RUMAH TANGGA,18/08/2021,"PEMB GELAS KERTAS,PLASTIK DAN PIRING PLASTIK",58500
612403103/RUMAH TANGGA,20/08/2021,PEMB GAS PANTRY LT.1,148000
612403103/RUMAH TANGGA,18/08/2021,PEMB MATERAI,500000
612403103/RUMAH TANGGA,19/08/2021,PEMB MATERAI,100000
612408101/ PEMELIHARAAN KANTOR,02/08/2021,PEMB TOILET SIGN LT.1 ,142700
612408101/ PEMELIHARAAN KANTOR,14/08/2021,PEMB 1 SET KUNCI PINTU POS SATPAM (PINTU KELUAR),133774
612408101/ PEMELIHARAAN KANTOR,18/08/2021,"PEMB LAMPU R.DOSIR PENSIUN, & R.LAYANAN",200000
612414101/BBM/TOL/PARKIR,16/08/2021,BBM MOTOR DINAS,25000
612414101/BBM/TOL/PARKIR,23/08/2021,BBM MOTOR DINAS,25000
612415103/RETRIBUSI & KEBERSIHAN,20/08/2021,RETRIBUSI KEBERSIHAN KANTOR,300000
612415103/RETRIBUSI & KEBERSIHAN,21/08/2021,RETRIBUSI KEBERSIHAN RUMAH DINAS,300000
612412101/BIAYA JAMUAN KANTOR,16/08/2021,JAMUAN INTERNAL,275200
612412101/BIAYA JAMUAN KANTOR,19/08/2021,JAMUAN EKSTERNAL - PENYALURAN DANA KEMITRAAN KC BOGOR,479500
612412101/BIAYA JAMUAN KANTOR,19/08/2021,JAMUAN EKSTERNAL - PENYALURAN DANA KEMITRAAN KC BOGOR,153000
"612403101/TELPON,INTERNET,FASIMILI",18/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,102000
612203106/BIAYA LAYANAN PESERTA,19/08/2021,PEMB NITROGEN MOTAS ,15000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,18/08/2021,BANNER SOSIALIASI PENYALURAN DANA PROGRAM KEMITRAAN TAHUN 2021,150000
612203106/BEBAN DT LAYANAN PESERTA,25/08/2021,"PEMB SPAREPART FUEL FILTER,ISUZU ASTRA OIL, CETANE PLUS,WATER REMOVER,ENGINE FLUSH DLL MOBIL DINAS  (MOTAS)",1000050
612203106/BEBAN DT LAYANAN PESERTA,25/08/2021,SERVICE BERKALA KENDARAAN DINAS  (MOTAS),305250
612414101/BBM/TOL/PARKIR,24/08/2021,BBM MOTOR DINAS,25000
612414101/BBM/TOL/PARKIR,24/08/2021,BBM MOBIL DINAS,200000
612414101/BBM/TOL/PARKIR,27/08/2021,BBM MOBIL DINAS,200000
612414101/BBM/TOL/PARKIR,31/08/2021,BBM MOBIL DINAS,200000
