AKUN,DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP),BULAN,TAHUN,Normalisasi,Klaster
612408103,BEBAN PEM KENDARAAN,06/08/2021,SERVICE BERKALA MOBIL DINAS  ,759000,8,2021,0.025456,0
612408103,BEBAN PEM KENDARAAN,10/08/2021,SERVICE BERKALA MOBIL DINAS ,115500,8,2021,0.003802,0
612408103,BEBAN PEM KENDARAAN,12/08/2021,"PEMB SPAREPART GASKET, BRAKE CALIPER GREASE, DLL MOBIL DINAS ",1025100,8,2021,0.034411,0
612408103,BEBAN PEM KENDARAAN,12/08/2021,SERVICE BERKALA MOBIL DINAS ,1111000,8,2021,0.037301,0
612414101,BBM/TOL/PARKIR,06/08/2021,BBM MOBIL DINAS,350000,8,2021,0.011693,0
612414101,BBM/TOL/PARKIR,06/08/2021,BBM MOBIL DINAS,300000,8,2021,0.010011,0
612414101,BBM/TOL/PARKIR,06/08/2021,BBM MOTOR DINAS,20000,8,2021,0.000589,0
612414101,BBM/TOL/PARKIR,10/08/2021,BBM GENSET KANTOR,60000,8,2021,0.001935,0
612403103,RUMAH TANGGA,09/08/2021,PEMB STEMPEL KANTOR,160000,8,2021,0.0053,0
612403103,RUMAH TANGGA,09/08/2021,PEMB SENDOK & GARPU PANTRY LT 1 ,165000,8,2021,0.005468,0
612403103,RUMAH TANGGA,10/08/2021,PEMB MANGKOK PANTRY LT 1 & 2,600000,8,2021,0.020106,0
612403103,RUMAH TANGGA,10/08/2021,PEMB OBAT-OBATAN P3K KANTOR LT 2,265000,8,2021,0.008833,0
612403103,RUMAH TANGGA,12/08/2021,PEMB PIRING & GELAS PLASTIK ,45000,8,2021,0.00143,0
612412101,BIAYA JAMUAN KANTOR,04/08/2021,JAMUAN INTERNAL,200000,8,2021,0.006646,0
612412101,BIAYA JAMUAN KANTOR,04/08/2021,JAMUAN INTERNAL,60000,8,2021,0.001935,0
612412101,BIAYA JAMUAN KANTOR,05/08/2021,JAMUAN INTERNAL,60000,8,2021,0.001935,0
612412101,BIAYA JAMUAN KANTOR,10/08/2021,JAMUAN INTERNAL,45000,8,2021,0.00143,0
612412101,BIAYA JAMUAN KANTOR,09/08/2021,JAMUAN INTERNAL,310700,8,2021,0.010371,0
612412101,BIAYA JAMUAN KANTOR,09/08/2021,JAMUAN INTERNAL,223000,8,2021,0.00742,0
612403103,RUMAH TANGGA,03/08/2021,PEMB PIRING PLASTIK & GARPU KECIL,27000,8,2021,0.000824,0
612403103,RUMAH TANGGA,10/08/2021,PEMB AQUA GALON MINUM KARYAWAN,272000,8,2021,0.009069,0
612408101,PEMELIHARAAN KANTOR,10/08/2021,PEMB CAT DAN KUAS KUSEN PINTU TOILET HALAMAN DEPAN (POS SATPAM),16000,8,2021,0.000454,0
612408101,PEMELIHARAAN KANTOR,10/08/2021,PEMB OBAT PEMBASMI HAMA RUMPUT LIAR TAMAN ,115000,8,2021,0.003786,0
612408101,PEMELIHARAAN KANTOR,04/08/2021,PEMB LAMPU R. DOSIR KEUANGAN DAN R.DOSIR PENSIUN,100000,8,2021,0.003281,0
612408101,PEMELIHARAAN KANTOR,09/08/2021,PEMB KERAN DAN LEM TOILET HALAMAN DEPAN (POS SATPAM),35000,8,2021,0.001094,0
612408101,PEMELIHARAAN KANTOR,09/08/2021,PEMB SELOT KUNCI PINTU TOILET HALAMAN DEPAN (POS SATPAM),21000,8,2021,0.000623,0
612403101,"TELPON,INTERNET,FASIMILI",13/08/2021,PEMB PULSA AO ,250000,8,2021,0.008328,0
612403101,"TELPON,INTERNET,FASIMILI",16/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,64000,8,2021,0.002069,0
612403101,"TELPON,INTERNET,FASIMILI",06/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,64000,8,2021,0.002069,0
612415103,RETRIBUSI & KEBERSIHAN,06/08/2021,DANA BANTUAN KEGIATAN SOSIAL ,100000,8,2021,0.003281,0
612401102,BEBAN FOTOCOPY,06/08/2021,"JILID, LAMINATING LAPORAN PKBL BULAN ",26000,8,2021,0.000791,0
612401102,BEBAN FOTOCOPY,04/08/2021,"JILID,LAMINATING LAPORAN KEUANGAN BULAN ",33600,8,2021,0.001047,0
612401102,BEBAN FOTOCOPY,13/08/2021,"PRINT,LAMINATING NOMOR ANTRIAN PESERTA",117500,8,2021,0.00387,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,10/08/2021,PRINT A3 PENGUMUMAN HATI-HATI PENIPUAN,7000,8,2021,0.000151,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,05/08/2021,PRINT A3 & ALBATROS PENGUMUMAN TASPEN ONLINE SERVICES (TOS),45000,8,2021,0.00143,0
612308102,BEBAN BINA BAPORSENI,12/08/2021,HONOR INSTRUKTUR SENAM SKJ,350000,8,2021,0.011693,0
612308102,BEBAN BINA BAPORSENI,13/08/2021,JAMUAN BAPORSENI VOLI,60000,8,2021,0.001935,0
612308101,BBN BINA BAPINROH,18/08/2021,BANTUAN KEGIATAN PERINGATAN TAHUN BARU ISLAM 1 MUHARAM ,300000,8,2021,0.010011,0
612403103,RUMAH TANGGA,18/08/2021,"PEMB GELAS KERTAS,PLASTIK DAN PIRING PLASTIK",58500,8,2021,0.001884,0
612403103,RUMAH TANGGA,20/08/2021,PEMB GAS PANTRY LT.1,148000,8,2021,0.004896,0
612403103,RUMAH TANGGA,18/08/2021,PEMB MATERAI,500000,8,2021,0.016741,0
612403103,RUMAH TANGGA,19/08/2021,PEMB MATERAI,100000,8,2021,0.003281,0
612408101,PEMELIHARAAN KANTOR,02/08/2021,PEMB TOILET SIGN LT.1 ,142700,8,2021,0.004718,0
612408101,PEMELIHARAAN KANTOR,14/08/2021,PEMB 1 SET KUNCI PINTU POS SATPAM (PINTU KELUAR),133774,8,2021,0.004417,0
612408101,PEMELIHARAAN KANTOR,18/08/2021,"PEMB LAMPU R.DOSIR PENSIUN, & R.LAYANAN",200000,8,2021,0.006646,0
612414101,BBM/TOL/PARKIR,16/08/2021,BBM MOTOR DINAS,25000,8,2021,0.000757,0
612414101,BBM/TOL/PARKIR,23/08/2021,BBM MOTOR DINAS,25000,8,2021,0.000757,0
612415103,RETRIBUSI & KEBERSIHAN,20/08/2021,RETRIBUSI KEBERSIHAN KANTOR,300000,8,2021,0.010011,0
612415103,RETRIBUSI & KEBERSIHAN,21/08/2021,RETRIBUSI KEBERSIHAN RUMAH DINAS,300000,8,2021,0.010011,0
612412101,BIAYA JAMUAN KANTOR,16/08/2021,JAMUAN INTERNAL,275200,8,2021,0.009176,0
612412101,BIAYA JAMUAN KANTOR,19/08/2021,JAMUAN EKSTERNAL - PENYALURAN DANA KEMITRAAN KC BOGOR,479500,8,2021,0.016051,0
612412101,BIAYA JAMUAN KANTOR,19/08/2021,JAMUAN EKSTERNAL - PENYALURAN DANA KEMITRAAN KC BOGOR,153000,8,2021,0.005064,0
612403101,"TELPON,INTERNET,FASIMILI",18/08/2021,PEMB PULSA HP OPERASIONAL LAYANAN,102000,8,2021,0.003348,0
612203106,BIAYA LAYANAN PESERTA,19/08/2021,PEMB NITROGEN MOTAS ,15000,8,2021,0.000421,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,18/08/2021,BANNER SOSIALIASI PENYALURAN DANA PROGRAM KEMITRAAN TAHUN 2021,150000,8,2021,0.004963,0
612203106,BEBAN DT LAYANAN PESERTA,25/08/2021,"PEMB SPAREPART FUEL FILTER,ISUZU ASTRA OIL, CETANE PLUS,WATER REMOVER,ENGINE FLUSH DLL MOBIL DINAS  (MOTAS)",1000050,8,2021,0.033568,0
612203106,BEBAN DT LAYANAN PESERTA,25/08/2021,SERVICE BERKALA KENDARAAN DINAS  (MOTAS),305250,8,2021,0.010188,0
612414101,BBM/TOL/PARKIR,24/08/2021,BBM MOTOR DINAS,25000,8,2021,0.000757,0
612414101,BBM/TOL/PARKIR,24/08/2021,BBM MOBIL DINAS,200000,8,2021,0.006646,0
612414101,BBM/TOL/PARKIR,27/08/2021,BBM MOBIL DINAS,200000,8,2021,0.006646,0
612414101,BBM/TOL/PARKIR,31/08/2021,BBM MOBIL DINAS,200000,8,2021,0.006646,0
612414101,BBM/TOL/PARKIR,31/08/2021,BBM MOBIL DINAS ,400000,8,2021,0.013376,0
612414101,BBM/TOL/PARKIR,31/08/2021,BBM MOTOR DINAS,30000,8,2021,0.000925,0
612414101,BBM/TOL/PARKIR,01/09/2021,BBM MOBIL DINAS,200000,9,2021,0.006646,1
612414101,BBM/TOL/PARKIR,01/09/2021,BBM MOBIL DINAS,400000,9,2021,0.013376,1
612403103,RUMAH TANGGA,24/08/2021,"PEMB TEH,KOPI,GULA",456640,8,2021,0.015282,0
612403103,RUMAH TANGGA,24/08/2021,PEMB MASKER EARLOOP,35000,8,2021,0.001094,0
612403103,RUMAH TANGGA,24/08/2021,PEMB MASKER HIJAB,90000,8,2021,0.002944,0
612403103,RUMAH TANGGA,27/08/2021,PEMB KARTU NAMA BRANCH MANAGER,40000,8,2021,0.001262,0
612403103,RUMAH TANGGA,01/09/2021,PEMB LAMPU LALU LINTAS TRAFFIC LIGHT SWAT POLICE ,75000,9,2021,0.00244,1
612412101,BIAYA JAMUAN KANTOR,24/08/2021,JAMUAN EKSTERNAL - BKAD,570000,8,2021,0.019096,0
612412101,BIAYA JAMUAN KANTOR,24/08/2021,JAMUAN EKSTERNAL - BKAD,170000,8,2021,0.005636,0
612412101,BIAYA JAMUAN KANTOR,25/08/2021,JAMUAN INTERNAL,148000,8,2021,0.004896,0
612412101,BIAYA JAMUAN KANTOR,26/08/2021,JAMUAN INTERNAL,288200,8,2021,0.009614,0
612412101,BIAYA JAMUAN KANTOR,31/08/2021,JAMUAN INTERNAL,854200,8,2021,0.02866,0
612412101,BIAYA JAMUAN KANTOR,01/09/2021,JAMUAN INTERNAL,34000,9,2021,0.00106,1
612412101,BIAYA JAMUAN KANTOR,01/09/2021,JAMUAN INTERNAL R.RAPAT,355200,9,2021,0.011868,1
612408101,PEMELIHARAAN KANTOR,24/08/2021,PEMB OBAT-OBATAN KEBERSIHAN,1445950,8,2021,0.048572,0
612408101,PEMELIHARAAN KANTOR,24/08/2021,PEMB ALAT KEBERSIHAN KANTOR ,463500,8,2021,0.015513,0
612403103,RUMAH TANGGA,31/07/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,209000,7,2021,0.006949,0
612403103,RUMAH TANGGA,24/08/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,352000,8,2021,0.011761,0
612403103,RUMAH TANGGA,02/09/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,288000,9,2021,0.009607,1
612403103,RUMAH TANGGA,26/08/2021,PEMB MATERAI,500000,8,2021,0.016741,0
612403103,RUMAH TANGGA,01/09/2021,PEMB MATERAI,500000,9,2021,0.016741,1
612408103,BEBAN PEM KENDARAAN,03/09/2021,PEMB AKI MOBIL DINAS ,1857000,9,2021,0.062404,1
612408103,BEBAN PEM KENDARAAN,24/08/2021,PEMB CARRERA SHAMPO MOBIL DINAS,126000,8,2021,0.004156,0
612408102,BIAYA PEM RMH DINAS,30/08/2021,PEMB SENSOR LAMPU RUMAH DINAS,65000,8,2021,0.002103,0
612408101,PEMELIHARAAN KANTOR,23/08/2021,PEMB LAMPU R.RAPAT,129900,8,2021,0.004287,0
612408101,PEMELIHARAAN KANTOR,24/08/2021,PEMB LAMPU R.DOSIR PENSIUN,232000,8,2021,0.007723,0
612408101,PEMELIHARAAN KANTOR,30/08/2021,"PEMB PUPUK DAN OBAT""AN TANAMAN GEDUNG KANTOR",45000,8,2021,0.00143,0
612403101,"TELPON,INTERNET,FASIMILI",30/08/2021,PEMB PULSA OPERASIONAL HP LAYANAN,102000,8,2021,0.003348,0
612403101,"TELPON,INTERNET,FASIMILI",30/08/2021,PEMB PULSA OPERASIONAL HP KEPESERTAAN,75000,8,2021,0.00244,0
612401102,BEBAN FOTOCOPY,30/08/2021,PRINT&LAMINATING NOMOR ANTRIAN PESERTA,124500,8,2021,0.004105,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,30/08/2021,PRINT SIMBOLIS TANDA TERIMA PENYALURAN DANA PROGRAM KEMITRAAN TAHUN 2021,40000,8,2021,0.001262,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,24/08/2021,CETAK ROLLUP BANNER & BANNER PUBLIKASI LAYANAN ONLINE KE BAPPEDA KABUPATEN BOGOR,320000,8,2021,0.010684,0
612414101,BBM/TOL/PARKIR,03/09/2021,BBM MOBIL DINAS ,150000,9,2021,0.004963,1
612414101,BBM/TOL/PARKIR,06/09/2021,BBM MOBIL DINAS ,400000,9,2021,0.013376,1
612412101,BIAYA JAMUAN KANTOR,26/08/2021,JAMUAN INTERNAL,192000,8,2021,0.006377,0
612412101,BIAYA JAMUAN KANTOR,31/08/2021,JAMUAN INTERNAL,130000,8,2021,0.00429,0
612412101,BIAYA JAMUAN KANTOR,02/08/2021,JAMUAN INTERNAL,178500,8,2021,0.005922,0
612412101,BIAYA JAMUAN KANTOR,03/09/2021,JAMUAN INTERNAL,61000,9,2021,0.001969,1
612412101,BIAYA JAMUAN KANTOR,08/09/2021,JAMUAN EKSTERNAL - BPKAD BOGOR,370000,9,2021,0.012366,1
612412101,BIAYA JAMUAN KANTOR,04/09/2021,JAMUAN INTERNAL,101000,9,2021,0.003315,1
612412101,BIAYA JAMUAN KANTOR,06/09/2021,JAMUAN INTERNAL,100000,9,2021,0.003281,1
612412101,BIAYA JAMUAN KANTOR,09/09/2021,JAMUAN INTERNAL,80000,9,2021,0.002608,1
612412101,BIAYA JAMUAN KANTOR,09/09/2021,JAMUAN INTERNAL,168000,9,2021,0.005569,1
612403103,RUMAH TANGGA,06/09/2021,LAUNDRY BENDERA ,261000,9,2021,0.008699,1
612403103,RUMAH TANGGA,09/09/2021,TERPAL TENDA HALAMAN DEPAN,1716000,9,2021,0.05766,1
612403103,RUMAH TANGGA,09/09/2021,PEMB GELAS PLASTIK,20000,9,2021,0.000589,1
612401102,BEBAN FOTOCOPY,08/09/2021,"JILID,LAMIINATING LAPORAN KEUANGAN",40000,9,2021,0.001262,1
612401102,BEBAN FOTOCOPY,07/09/2021,"JILID,LAMINIATING LAPORAN PKBL",30000,9,2021,0.000925,1
612401102,BEBAN FOTOCOPY,06/09/2021,"PRINT ,LAMINATING NOMOR ANTRIAN PESERTA",28500,9,2021,0.000875,1
612308102,BEBAN BINA BAPORSENI,07/09/2021,JAMUAN BULUTANGKIS KARYAWAN,69000,9,2021,0.002238,1
612308102,BEBAN BINA BAPORSENI,09/09/2021,JAMUAN SENAM SKJ KARYAWAN,500000,9,2021,0.016741,1
612308102,BEBAN BINA BAPORSENI,14/09/2021,JAMUAN BULUTANGKIS KARYAWAN,50000,9,2021,0.001598,1
612308102,BEBAN BINA BAPORSENI,14/09/2021,PEMB SHUTTLECOCK BULUTANGKIS,75000,9,2021,0.00244,1
612308102,BEBAN BINA BAPORSENI,09/09/2021,HONOR INSTRUKTUR SENAM SKJ,350000,9,2021,0.011693,1
612308102,BEBAN BINA BAPORSENI,14/09/2021,SEWA LAPANGAN BULUTANGKIS KARYAWAN,320000,9,2021,0.010684,1
612414101,BBM/TOL/PARKIR,12/09/2021,BBM MOTOR DINAS,10000,9,2021,0.000252,1
612414101,BBM/TOL/PARKIR,13/09/2021,BBM MOBIL DINAS,250000,9,2021,0.008328,1
612414101,BBM/TOL/PARKIR,13/09/2021,BBM MOBIL DINAS,325000,9,2021,0.010852,1
612414101,BBM/TOL/PARKIR,13/09/2021,BBM MOBIL DINAS ,350000,9,2021,0.011693,1
612414101,BBM/TOL/PARKIR,15/09/2021,BBM MOBIL DINAS,214000,9,2021,0.007117,1
612414101,BBM/TOL/PARKIR,17/09/2021,BBM MOBIL DINAS ,130000,9,2021,0.00429,1
612414101,BBM/TOL/PARKIR,20/09/2021,BBM MOTOR DINAS,25000,9,2021,0.000757,1
612403103,RUMAH TANGGA,13/09/2021,PEMB BATU BATERAI MIC KANTOR,37900,9,2021,0.001191,1
612403103,RUMAH TANGGA,13/09/2021,PEMB KAIN ATAS TENDA R.LAYANAN HALAMAN DEPAN KANTOR,500000,9,2021,0.016741,1
612403103,RUMAH TANGGA,17/09/2021,PEMB SARUNG MIC KANTOR,50000,9,2021,0.001598,1
612403103,RUMAH TANGGA,15/09/2021,PEMB KAIN TIANG TENDA R.LAYANAN HALAMAN DEPAN KANTOR,320000,9,2021,0.010684,1
612403103,RUMAH TANGGA,15/09/2021,NECI KAIN TENDA & KAIN ATAS R. LAYANAN HALAMAN DEPAN KANTOR,150000,9,2021,0.004963,1
612403103,RUMAH TANGGA,16/09/2021,PEMB GELAS PLASTIK,40000,9,2021,0.001262,1
612403103,RUMAH TANGGA,21/09/2021,PEMB BATU BATERAI MIC KANTOR,10000,9,2021,0.000252,1
612403103,RUMAH TANGGA,21/09/2021,PEMB RICE COOKER KANTOR,1150000,9,2021,0.038614,1
612412101,BIAYA JAMUAN KANTOR,10/09/2021,JAMUAN INTERNAL,273000,9,2021,0.009102,1
612412101,BIAYA JAMUAN KANTOR,11/09/2021,JAMUAN INTERNAL,51000,9,2021,0.001632,1
612412101,BIAYA JAMUAN KANTOR,13/09/2021,JAMUAN INTERNAL,652800,9,2021,0.021883,1
612412101,BIAYA JAMUAN KANTOR,11/09/2021,JAMUAN INTERNAL,165000,9,2021,0.005468,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN INTERNAL,72000,9,2021,0.002339,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN INTERNAL,109500,9,2021,0.003601,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN INTERNAL,100000,9,2021,0.003281,1
612412101,BIAYA JAMUAN KANTOR,18/09/2021,JAMUAN INTERNAL,57000,9,2021,0.001834,1
612412101,BIAYA JAMUAN KANTOR,18/09/2021,JAMUAN INTERNAL,303000,9,2021,0.010112,1
612412101,BIAYA JAMUAN KANTOR,20/09/2021,JAMUAN INTERNAL,108000,9,2021,0.00355,1
612412101,BIAYA JAMUAN KANTOR,20/09/2021,JAMUAN EKSTERNAL - PEMDA KOTA SUKABUMI,770500,9,2021,0.025843,1
612412101,BIAYA JAMUAN KANTOR,22/09/2021,JAMUAN INTERNAL,46000,9,2021,0.001464,1
612408101,PEMELIHARAAN KANTOR,14/09/2021,PEMB DUPLIKAT KUNCI R. DOSIR LAYANAN,30000,9,2021,0.000925,1
612408101,PEMELIHARAAN KANTOR,17/09/2021,PEMB LAMPU LED R. RAPAT,60000,9,2021,0.001935,1
612408101,PEMELIHARAAN KANTOR,18/09/2021,PEMB KABEL & LAMPU TOILET R. LAYANAN,109000,9,2021,0.003584,1
612408101,PEMELIHARAAN KANTOR,18/09/2021,"PEMB CAT,KUAS TOILET R. LAYANAN",100000,9,2021,0.003281,1
612414101,BBM/TOL/PARKIR,15/09/2021,TOL MOBIL DINAS   : BOGOR,7000,9,2021,0.000151,1
612412101,BIAYA JAMUAN KANTOR,02/09/2021,JAMUAN INTERNAL,95000,9,2021,0.003113,1
612412101,BIAYA JAMUAN KANTOR,02/09/2021,JAMUAN INTERNAL,149000,9,2021,0.00493,1
612412101,BIAYA JAMUAN KANTOR,08/09/2021,JAMUAN INTERNAL,60000,9,2021,0.001935,1
612412101,BIAYA JAMUAN KANTOR,15/09/2021,JAMUAN INTERNAL,35000,9,2021,0.001094,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN TAMU DINAS,170000,9,2021,0.005636,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN TAMU DINAS,158000,9,2021,0.005233,1
612412101,BIAYA JAMUAN KANTOR,17/09/2021,JAMUAN TAMU DINAS,107000,9,2021,0.003516,1
612415103,RETRIBUSI & KEBERSIHAN,15/09/2021,RETRIBUSI KEBERSIHAN KANTOR ,300000,9,2021,0.010011,1
612415103,RETRIBUSI & KEBERSIHAN,17/09/2021,RETRIBUSI KEBERSIHAN RUMAH DINAS ,300000,9,2021,0.010011,1
612403103,RUMAH TANGGA,13/09/2021,PEMB AQUA GALON KARYAWAN ,288000,9,2021,0.009607,1
612403101,"TELPON,INTERNET,FASIMILI",15/09/2021,PEMB PULSA HP OPERASIONAL LAYANAN,62000,9,2021,0.002002,1
612208201,PEMELIHARAAN SOFTWARE/HARDWARE,21/09/2021,PEMB BATERAI LAPTOP BRANCH MANAGER,500000,9,2021,0.016741,1
612408104,PEM INV KTR,21/09/2021,SERVICE KURSI CHITOSE R. AULA & R. LAYANAN,1550000,9,2021,0.052074,1
612308102,BEBAN BINA BAPORSENI,14/09/2021,SEWA LAPANGAN BULUTANGKIS KARYAWAN,40000,9,2021,0.001262,1
612308102,BEBAN BINA BAPORSENI,15/09/2021,SEWA LAPANGAN FUTSAL KARYAWAN,190000,9,2021,0.006309,1
612308102,BEBAN BINA BAPORSENI,15/09/2021,JAMUAN FUTSAL KARYAWAN,50000,9,2021,0.001598,1
612308102,BEBAN BINA BAPORSENI,16/09/2021,HONOR INSTRUKTUR SENAM SKJ,350000,9,2021,0.011693,1
612308102,BEBAN BINA BAPORSENI,16/09/2021,JAMUAN SENAM SKJ KARYAWAN,500000,9,2021,0.016741,1
612308102,BEBAN BINA BAPORSENI,21/09/2021,JAMUAN BULUTANGKIS KARYAWAN,50000,9,2021,0.001598,1
612308102,BEBAN BINA BAPORSENI,21/09/2021,PEMB SHUTTLECOCK BULUTANGKIS,80000,9,2021,0.002608,1
612308102,BEBAN BINA BAPORSENI,22/09/2021,JAMUAN VOLI KARYAWAN,50000,9,2021,0.001598,1
612308102,BEBAN BINA BAPORSENI,23/09/2021,JAMUAN SENAM SKJ KARYAWAN,250000,9,2021,0.008328,1
612308102,BEBAN BINA BAPORSENI,23/09/2021,HONOR INSTRUKTUR SENAM SKJ,350000,9,2021,0.011693,1
612308102,BEBAN BINA BAPORSENI,27/09/2021,SEWA LAPANGAN FUTSAL KARYAWAN,190000,9,2021,0.006309,1
612308102,BEBAN BINA BAPORSENI,27/09/2021,JAMUAN FUTSAL KARYAWAN,36000,9,2021,0.001127,1
612308102,BEBAN BINA BAPORSENI,28/09/2021,JAMUAN BULUTANGKIS KARYAWAN,57000,9,2021,0.001834,1
612414101,BBM/TOL/PARKIR,23/09/2021,BBM MOBIL DINAS,400000,9,2021,0.013376,1
612414101,BBM/TOL/PARKIR,28/09/2021,BBM MOTOR DINAS,30000,9,2021,0.000925,1
612414101,BBM/TOL/PARKIR,29/09/2021,BBM MOBIL DINAS,300000,9,2021,0.010011,1
612414101,BBM/TOL/PARKIR,30/09/2021,BBM MOBIL DINAS ,400000,9,2021,0.013376,1
612414101,BBM/TOL/PARKIR,30/09/2021,BBM MOBIL DINAS,300000,9,2021,0.010011,1
612414101,BBM/TOL/PARKIR,30/09/2021,BBM MOBIL DINAS,270000,9,2021,0.009001,1
612412101,BIAYA JAMUAN KANTOR,22/09/2021,JAMUAN INTERNAL,250000,9,2021,0.008328,1
612412101,BIAYA JAMUAN KANTOR,23/09/2021,JAMUAN INTERNAL,100000,9,2021,0.003281,1
612412101,BIAYA JAMUAN KANTOR,23/09/2021,JAMUAN INTERNAL,30000,9,2021,0.000925,1
612412101,BIAYA JAMUAN KANTOR,24/09/2021,JAMUAN INTERNAL,21000,9,2021,0.000623,1
612412101,BIAYA JAMUAN KANTOR,23/09/2021,JAMUAN INTERNAL,323000,9,2021,0.010785,1
612412101,BIAYA JAMUAN KANTOR,24/09/2021,JAMUAN INTERNAL,140000,9,2021,0.004627,1
612412101,BIAYA JAMUAN KANTOR,27/09/2021,JAMUAN EKSTERNAL - BKPSDM KOTA SUKABUMI,373500,9,2021,0.012484,1
612412101,BIAYA JAMUAN KANTOR,25/09/2021,JAMUAN INTERNAL,100000,9,2021,0.003281,1
612412101,BIAYA JAMUAN KANTOR,29/09/2021,JAMUAN INTERNAL,66000,9,2021,0.002137,1
612412101,BIAYA JAMUAN KANTOR,25/09/2021,JAMUAN INTERNAL,91000,9,2021,0.002978,1
612412101,BIAYA JAMUAN KANTOR,02/10/2021,JAMUAN INTERNAL,60000,10,2021,0.001935,1
612412101,BIAYA JAMUAN KANTOR,04/10/2021,JAMUAN INTERNAL,750000,10,2021,0.025154,1
612412101,BIAYA JAMUAN KANTOR,04/10/2021,JAMUAN INTERNAL,72000,10,2021,0.002339,1
612401102,BEBAN FOTOCOPY,23/09/2021,"JILID , LAMINATING DOKUMEN PKS SIMGAJI WEB ",36000,9,2021,0.001127,1
612401102,BEBAN FOTOCOPY,28/09/2021,"FOTOKOPI,JILID,LAMINATING BUKU PENGAWASAN CEK,BG DAN KELSO",162000,9,2021,0.005367,1
612401102,BEBAN FOTOCOPY,27/09/2021,FOTOKOPI FPP,80000,9,2021,0.002608,1
612401102,BEBAN FOTOCOPY,04/10/2021,FOTOKOPI FPP,80000,10,2021,0.002608,1
612401102,BEBAN FOTOCOPY,04/10/2021,"JILID , LAMINATING LAPORAN KEUANGAN BULAN  ",42000,10,2021,0.001329,1
612408101,PEMELIHARAAN KANTOR,29/09/2021,PEMB MCB PANEL LISTRIK PANTRY LT 2,62500,9,2021,0.002019,1
612408101,PEMELIHARAAN KANTOR,29/09/2021,PEMB TISSUE KANTOR,275400,9,2021,0.009183,1
612403103,RUMAH TANGGA,27/09/2021,JAMUAN PIKET PETUGAS CS ,44000,9,2021,0.001396,1
612403103,RUMAH TANGGA,30/09/2021,JAMUAN PIKET PETUGAS CS ,44000,9,2021,0.001396,1
612403103,RUMAH TANGGA,25/09/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,256000,9,2021,0.00853,1
612403103,RUMAH TANGGA,04/10/2021,PEMB AQUA GALON AIR MINUM KARYAWAN,256000,10,2021,0.00853,1
612403103,RUMAH TANGGA,25/09/2021,PEMB PIRING DAN GARPU PLASTIK,30000,9,2021,0.000925,1
612403101,"TELPON,INTERNET,FASIMILI",01/10/2021,PEMB PULSA HP OPERASIONAL LAYANAN,77000,10,2021,0.002507,1
612403101,"TELPON,INTERNET,FASIMILI",04/10/2021,PEMB PULSA HP OPERASIONAL LAYANAN,102000,10,2021,0.003348,1
612403101,"TELPON,INTERNET,FASIMILI",04/10/2021,PEMB PULSA AO BULAN OKTOBER 2021,250000,10,2021,0.008328,1
612203106,BIAYA LAYANAN PESERTA,29/09/2021,PEMB JAMUAN PESERTA (AIR MINUM AQUA),455000,9,2021,0.015227,1
612201102,BIAYA PUBLIKASI & DOKUMENTASI,30/09/2021,PEMB BANNER PUBLIKASI HATI - HATI PENIPUAN,150000,9,2021,0.004963,1
612308102,BEBAN BINA BAPORSENI,05/10/2021,PEMB SHUTTLECOCK BULUTANGKIS KARYAWAN,160000,10,2021,0.0053,1
612308102,BEBAN BINA BAPORSENI,05/10/2021,JAMUAN BULUTANGKIS KARYAWAN,69000,10,2021,0.002238,1
612308102,BEBAN BINA BAPORSENI,07/10/2021,JAMUAN SENAM SKJ KARYAWAN,400000,10,2021,0.013376,1
612308102,BEBAN BINA BAPORSENI,07/10/2021,HONOR INSTRUKTUR SENAM SKJ,350000,10,2021,0.011693,1
612201101,BEBAN PROM SOSIALISASI,05/10/2021,HONOR PESERTA SOSIALISASI,1200000,10,2021,0.040296,1
612201101,BEBAN PROM SOSIALISASI,05/10/2021,HONOR PESERTA SOSIALISASI,1000000,10,2021,0.033566,1
612201101,BEBAN PROM SOSIALISASI,05/10/2021,BANTUAN AKOMODASI DAN JAMUAN,3000000,10,2021,0.100866,1
612203106,BIAYA LAYANAN PESERTA,12/10/2021,PEMB JAMUAN PESERTA (AIR MINUM AQUA),74000,10,2021,0.002406,1
